date,time,entry,sl,tgt_1_3,risk_pts,1m_bb_pct_b,1m_bb_width,1m_bb_lbr,1m_ema9_vs_21,1m_ema21_vs_50,1m_close_vs_ema9,1m_close_vs_ema21,1m_ema9_slope,1m_rsi14,1m_stoch_k,1m_will_r,1m_mom10,1m_adx,1m_plus_di,1m_minus_di,1m_body_ratio,1m_lwr_ratio,1m_is_bull,1m_range_vs_atr,1m_close_pos,1m_hh_hl,1m_ret1,1m_ret3,1m_ret5,1m_d5l,1m_d5h,1m_d20l,1m_d20h,1m_atr14,1m_atr_exp,1m_vol5,1m_effort,5m_ema9_vs_ema21,5m_ema21_vs_ema50,5m_close_vs_ema9,5m_ema9_slope,5m_bb_pct_b,5m_bb_width,5m_bb_lower_breach_atr,5m_rsi14,5m_stoch_k,5m_will_r,5m_is_bullish,5m_body_ratio,5m_lower_wick_ratio,5m_range_vs_atr,5m_close_pos,5m_signal_active,5m_dist_to_prev_high_atr,5m_dist_to_prev_low_atr,5m_room_to_tgt3,15m_ema9_vs_ema21,15m_ema21_vs_ema50,15m_close_vs_ema9,15m_ema9_slope,15m_bb_pct_b,15m_bb_width,15m_bb_lower_breach_atr,15m_rsi14,15m_stoch_k,15m_will_r,15m_is_bullish,15m_body_ratio,15m_lower_wick_ratio,15m_range_vs_atr,15m_close_pos,15m_signal_active,15m_dist_to_prev_high_atr,15m_dist_to_prev_low_atr,15m_room_to_tgt3,1h_ema9_vs_ema21,1h_ema21_vs_ema50,1h_close_vs_ema9,1h_ema9_slope,1h_bb_pct_b,1h_bb_width,1h_bb_lower_breach_atr,1h_rsi14,1h_stoch_k,1h_will_r,1h_is_bullish,1h_body_ratio,1h_lower_wick_ratio,1h_range_vs_atr,1h_close_pos,1h_signal_active,1h_dist_to_prev_high_atr,1h_dist_to_prev_low_atr,1h_room_to_tgt3,tf_conf,tr_align,5m15m_both,15m1h_both,all3tf_sig,all3tf_up,price_vs_open_atr,price_vs_open_pct,open30_dir,open30_rng_atr,day_range_so_far,mins_open,mins_close,session,post_pattern,post_A_clean,post_A_delay,post_B_wick,post_C_coil,bars_to_ema9,consec_above_ema9,broke_sl,broke_sl_recovered,max_dd_atr,n_small_candles,range_compress,breakout_bar,breakout_str,pts5bars_atr,label
2022-10-03,10:08:00,16971.95,16961.2,17004.2,10.75,0.3626,0.0054,1.8667,-12.3478,-24.8045,3.5611,-8.7867,-0.462,48.3292,43.0052,-56.9948,-13.2,34.7583,17.8763,24.4109,0.8651,0.1349,1,0.9029,1.0,1,0.0572,0.0793,0.1115,1.7303,-0.2058,2.0914,-4.6574,11.9058,0,0.046,0.903,-6.7404,0.0,-30.9962,-27.6182,0.2167,0.0094,0.507,38.4027,11.6348,-88.3652,1,0.2618,0.3466,0.4531,0.6085,0,0.2058,1.4783,0,0.0,0.0,-15.0384,-45.0616,0.3129,0.0058,-0.0253,0.0,19.2721,-80.7279,0,0.0206,0.7821,0.6566,0.7821,0,1.3775,2.0914,0,0.0,0.0,-5.4167,-10.8333,0.25,0.0019,-0.1115,0.0,10.4117,-89.5883,0,0.2834,0.315,0.6627,0.315,0,2.5618,2.0914,0,0,0,0,0,0,0,-10.9317,-0.761,0,11.759,2.0914,53,321,1,B_wick_recover,0,0,1,0,3,0,1,1,0.8105,1,1.0524,3,1.3649,0.9995,0
2022-10-03,11:04:00,16958.1,16951.0,16979.4,7.1,0.2874,0.0018,0.2533,-4.7622,-8.1521,0.2772,-4.485,-3.7233,45.6429,40.8784,-59.1216,-10.95,34.8955,23.854,32.6974,0.8562,0.0312,1,1.228,0.8875,1,0.0413,0.0552,-0.0377,1.8573,-0.9363,1.8573,-2.7246,6.5148,1,0.0422,1.2384,-19.5807,-1.5721,-11.5911,-6.3103,0.2188,0.0051,0.2879,38.5538,20.5259,-79.4741,0,0.3352,0.6648,0.7678,0.6648,0,0.9363,1.8573,0,0.0,0.0,-5.2543,-14.7048,0.4571,0.0053,0.1686,21.8383,20.0415,-79.9585,1,0.4419,0.5156,0.7719,0.9575,0,3.5611,1.8573,1,0.0,0.0,30.9375,22.8125,0.8447,0.007,0.119,81.1594,52.4755,-47.5245,1,0.618,0.16,1.0759,0.778,0,15.603,1.8573,1,0,0,0,0,0,0,-22.1037,-0.842,0,21.4897,1.8573,109,265,2,A_clean,1,0,0,0,1,4,0,0,0.0,1,1.0023,7,1.4813,1.581,1
2022-10-03,11:57:00,17033.4,17029.4,17045.4,4.0,0.3647,0.003,2.1346,-2.9854,10.0241,2.4018,-0.5836,0.033,50.4566,34.2072,-65.7928,-15.75,25.8758,28.0086,25.1848,0.7677,0.0404,1,0.7286,0.8081,1,0.0276,0.0543,0.0664,1.7368,-0.1398,2.0165,-3.8785,6.7939,0,0.0188,0.72,12.4561,-1.2038,7.2839,3.5831,0.7534,0.0082,4.2442,59.3824,77.8022,-22.1978,1,0.6623,0.0357,0.6951,0.6981,0,0.8463,1.4204,0,0.7135,0.0,21.9765,24.8932,0.7832,0.0075,1.7018,43.7279,52.4755,-47.5245,0,0.5493,0.3695,0.804,0.3695,0,3.8785,2.0165,1,0.0,0.0,30.9375,22.8125,0.8447,0.007,0.119,81.1594,52.4755,-47.5245,1,0.618,0.16,1.0759,0.778,0,3.8785,12.8644,1,0,2,0,0,0,0,-10.1119,-0.4017,0,20.6066,12.8644,162,212,2,B_wick_recover,0,0,1,0,1,0,1,1,1.4645,0,1.2614,5,1.5529,0.8463,0
2022-10-03,12:24:00,17005.35,16999.25,17023.65,6.1,0.3387,0.0027,1.4355,-7.1871,-5.9121,1.0995,-6.0876,-3.0458,46.0656,40.512,-59.488,-10.35,36.1497,24.0694,36.3913,1.0,0.0,1,0.9062,1.0,0,0.0382,0.0259,-0.005,1.9981,-0.5348,1.9981,-4.1002,6.7313,0,0.0309,0.8821,3.1401,-2.3245,-12.8652,-9.4091,0.4617,0.0074,2.3696,41.0,31.3565,-68.6435,0,0.0323,0.7889,0.9006,0.7889,0,0.5348,1.9981,0,0.2087,0.0,-4.5671,4.9877,0.5585,0.007,1.1136,32.1532,36.4364,-63.5636,0,0.3354,0.6439,0.5303,0.6439,0,1.5896,1.9981,0,0.0,0.0,14.91,27.54,0.6938,0.0068,0.3973,61.8329,45.7753,-54.2247,0,0.1798,0.6624,0.7196,0.6624,0,5.9721,3.8625,1,0,2,0,0,0,0,-14.3731,-0.5657,0,20.7982,8.817,189,185,2,B_wick_recover,0,0,1,0,1,1,1,1,2.5106,0,1.0236,5,1.5227,0.5274,0
2022-10-03,12:34:00,16997.6,16990.35,17019.35,7.25,0.4228,0.0014,0.3329,-6.3197,-8.6937,2.2027,-4.117,-3.8881,49.4119,57.3308,-42.6692,-7.75,26.1281,28.345,27.3563,0.6067,0.0,1,1.2673,0.6067,1,0.0471,0.0424,-0.0579,1.6173,-1.2037,1.6173,-1.9566,9.4295,1,0.0517,1.2605,-0.4866,-3.6953,-14.7698,-9.0618,0.3619,0.0068,1.3442,36.4571,19.7028,-80.2972,0,0.3741,0.5733,1.3541,0.5733,0,1.2037,1.6173,0,-0.8013,0.0,-9.3336,-2.8399,0.4987,0.0067,0.763,29.1077,32.2265,-67.7735,0,0.1522,0.444,1.002,0.444,0,3.0808,1.9354,1,0.0,0.0,14.91,27.54,0.6938,0.0068,0.3973,61.8329,45.7753,-54.2247,0,0.1798,0.6624,0.7196,0.6624,0,5.0851,1.9354,1,0,0,0,0,0,0,-11.0822,-0.611,0,14.847,5.4722,199,175,2,B_wick_recover,0,0,1,0,1,5,1,1,1.1666,0,1.2259,2,1.3097,3.0808,1
2022-10-03,13:10:00,17019.05,17005.05,17061.05,14.0,0.3063,0.0022,-0.2899,-2.5165,1.9545,1.2152,-1.3012,-4.8855,48.9716,45.9283,-54.0717,-12.95,33.3456,18.8013,32.1896,1.0,0.0,1,1.5473,1.0,0,0.0829,0.0235,-0.0285,1.5583,-0.6576,1.5583,-2.9288,9.0481,1,0.0533,1.611,1.1314,-3.4741,-11.3106,-0.9211,0.2267,0.0038,0.6525,42.1073,38.6707,-61.3293,0,0.695,0.0,1.0619,0.0,0,1.1052,1.5583,0,0.4485,0.0,6.6105,2.0225,0.6579,0.0065,1.2672,38.3161,65.6264,-34.3736,0,0.0586,0.5114,0.6813,0.5114,0,1.8346,1.5583,0,0.0,0.0,-33.558,12.3247,0.2079,0.0075,0.2331,25.4615,4.8028,-95.1972,0,0.7109,0.0416,0.9939,0.0416,0,3.0062,7.6204,0,0,2,0,0,0,0,-9.1787,-0.4856,0,15.4728,8.0735,235,139,3,A_clean,1,0,0,0,1,2,0,0,0.0,2,0.6742,7,1.4699,0.7129,0
2022-10-03,13:43:00,16990.9,16987.55,17000.95,3.35,0.3348,0.0034,1.7682,-8.717,-9.6868,0.5746,-8.1424,-2.2429,43.0136,28.5088,-71.4912,-5.55,38.037,21.4728,20.2313,0.0913,0.2146,1,1.209,0.3059,1,0.0191,0.0459,-0.0212,1.0765,-0.8391,1.0765,-4.7975,9.0568,1,0.0327,1.286,-5.4317,-5.977,-10.979,-13.6299,0.1699,0.0032,-0.1749,40.5191,21.9731,-78.0269,1,0.4986,0.245,0.8116,0.7435,0,0.8391,1.0765,0,-2.0305,0.0,-15.6813,-2.6556,0.4132,0.0062,0.7172,31.0317,42.2418,-57.7582,0,0.5497,0.3772,0.8044,0.3772,0,2.6996,1.0765,1,0.0,0.0,-33.558,12.3247,0.2079,0.0075,0.2331,25.4615,4.8028,-95.1972,0,0.7109,0.0416,0.9939,0.0416,0,6.1114,4.5049,1,0,0,0,0,0,0,-12.2781,-0.6502,0,15.458,4.9576,268,106,3,B_wick_recover,0,0,1,0,1,0,1,1,3.318,0,1.0037,8,1.2753,0.679,0
2022-10-03,13:58:00,16962.5,16952.25,16993.25,10.25,0.3136,0.0032,0.6855,-10.8783,-17.195,0.9792,-9.8991,-2.7761,45.2223,26.4111,-73.5889,-7.75,49.2816,9.7191,19.4698,0.8244,0.1756,1,1.0227,1.0,1,0.0493,0.0658,-0.0062,1.2372,-0.3692,1.2372,-3.592,10.0224,1,0.043,1.0194,-15.4933,-12.3893,-27.914,-23.0149,-0.0366,0.0054,-0.3494,26.0636,4.1602,-95.8398,0,0.1553,0.2484,0.7642,0.2484,0,0.3692,1.2372,0,-7.693,0.0,-44.505,-15.4345,0.082,0.0065,0.1189,23.0854,7.1209,-92.8791,0,0.8669,0.0852,1.0892,0.0852,0,3.4473,1.2372,1,0.0,0.0,-33.558,12.3247,0.2079,0.0075,0.2331,25.4615,4.8028,-95.1972,0,0.7109,0.0416,0.9939,0.0416,0,8.3563,1.2372,1,0,0,0,0,0,0,-13.9288,-0.8163,0,13.9687,1.6463,283,91,3,B_wick_recover,0,0,1,0,5,0,1,1,3.0931,0,1.6882,5,2.9185,0.0898,0
2022-10-03,14:03:00,16956.1,16929.45,17036.05,26.65,0.4281,0.0042,0.259,-12.7362,-20.4395,8.6583,-4.078,-7.3476,52.4787,69.2155,-30.7845,-7.45,48.6023,29.7065,28.1037,0.7915,0.1197,1,2.0801,0.9111,0,0.1536,0.1317,-0.0377,2.4783,-0.5191,2.4783,-2.9121,14.0619,1,0.1032,2.1327,-14.8172,-13.0514,-5.3712,-16.6819,0.2204,0.0056,-1.2986,42.0437,43.24,-56.76,1,0.3906,0.6029,2.1323,0.9936,0,1.3903,2.4783,0,-13.9169,0.0,-49.044,-27.3076,0.0057,0.0072,-0.3414,20.5341,11.5884,-88.4116,0,0.2933,0.2811,1.2697,0.2811,0,1.5823,2.4783,0,0.0,0.0,-70.8159,-33.1749,0.0554,0.0113,-0.2124,15.8707,12.8329,-87.1671,0,0.5314,0.2708,1.1546,0.2708,0,1.5823,7.1505,0,0,0,0,0,0,0,-10.3826,-0.8537,0,9.956,2.4783,288,86,3,A_clean,1,0,0,0,1,3,0,0,0.0,2,1.0717,0,0.0,1.5823,0
2022-10-04,10:36:00,17231.1,17222.2,17257.8,8.9,0.4032,0.0013,-0.0217,-1.0776,7.6104,1.2397,0.1621,-1.3996,50.5501,37.0062,-62.9938,-9.5,25.6379,10.1667,24.7083,0.9438,0.0562,1,1.4038,1.0,0,0.0435,0.007,0.0119,1.4038,-0.0473,1.4038,-2.3896,6.3401,1,0.0369,1.4747,10.1668,0.0,7.7176,4.1183,0.7174,0.005,2.1137,73.3744,83.0727,-16.9273,1,0.4834,0.4801,0.672,0.9636,0,0.9779,1.4038,0,0.0,0.0,24.4547,18.777,0.8755,0.005,0.9215,57.9777,99.3423,-0.6577,1,0.6792,0.2926,0.6666,0.9718,0,3.6356,1.4038,0,0.0,0.0,-4.1333,-8.2667,0.25,0.0014,0.0847,0.0,64.6346,-35.3654,0,0.2568,0.001,0.6834,0.001,0,4.1719,3.6593,0,0,1,0,0,0,0,13.1938,0.4878,1,18.7143,17.9493,81,293,1,A_slight_delay,0,1,0,0,2,0,0,0,0.0,2,1.0079,4,1.2697,2.7681,0
