date,time,entry,sl,tgt_1_3,risk_pts,1m_bb_pct_b,1m_bb_width,1m_bb_lbr,1m_ema9_vs_21,1m_ema21_vs_50,1m_close_vs_ema9,1m_close_vs_ema21,1m_ema9_slope,1m_rsi14,1m_stoch_k,1m_will_r,1m_mom10,1m_adx,1m_plus_di,1m_minus_di,1m_body_ratio,1m_lwr_ratio,1m_is_bull,1m_range_vs_atr,1m_close_pos,1m_hh_hl,1m_ret1,1m_ret3,1m_ret5,1m_d5l,1m_d5h,1m_d20l,1m_d20h,1m_atr14,1m_atr_exp,1m_vol5,1m_effort,5m_ema9_vs_ema21,5m_ema21_vs_ema50,5m_close_vs_ema9,5m_ema9_slope,5m_bb_pct_b,5m_bb_width,5m_bb_lower_breach_atr,5m_rsi14,5m_stoch_k,5m_will_r,5m_is_bullish,5m_body_ratio,5m_lower_wick_ratio,5m_range_vs_atr,5m_close_pos,5m_signal_active,5m_dist_to_prev_high_atr,5m_dist_to_prev_low_atr,5m_room_to_tgt3,15m_ema9_vs_ema21,15m_ema21_vs_ema50,15m_close_vs_ema9,15m_ema9_slope,15m_bb_pct_b,15m_bb_width,15m_bb_lower_breach_atr,15m_rsi14,15m_stoch_k,15m_will_r,15m_is_bullish,15m_body_ratio,15m_lower_wick_ratio,15m_range_vs_atr,15m_close_pos,15m_signal_active,15m_dist_to_prev_high_atr,15m_dist_to_prev_low_atr,15m_room_to_tgt3,1h_ema9_vs_ema21,1h_ema21_vs_ema50,1h_close_vs_ema9,1h_ema9_slope,1h_bb_pct_b,1h_bb_width,1h_bb_lower_breach_atr,1h_rsi14,1h_stoch_k,1h_will_r,1h_is_bullish,1h_body_ratio,1h_lower_wick_ratio,1h_range_vs_atr,1h_close_pos,1h_signal_active,1h_dist_to_prev_high_atr,1h_dist_to_prev_low_atr,1h_room_to_tgt3,tf_conf,tr_align,5m15m_both,15m1h_both,all3tf_sig,all3tf_up,price_vs_open_atr,price_vs_open_pct,open30_dir,open30_rng_atr,day_range_so_far,mins_open,mins_close,session,post_pattern,post_A_clean,post_A_delay,post_B_wick,post_C_coil,bars_to_ema9,consec_above_ema9,broke_sl,broke_sl_recovered,max_dd_atr,n_small_candles,range_compress,breakout_bar,breakout_str,pts5bars_atr,label
2023-10-03,10:11:00,19496.25,19486.0,19527.0,10.25,0.5943,0.0017,1.3623,-5.1196,-12.533,7.0846,1.965,0.7463,60.4717,65.098,-34.902,6.6,35.7797,26.279,18.6779,0.8991,0.0,1,1.6755,0.8991,1,0.057,0.0536,0.058,2.0282,-0.169,2.4397,-2.8512,6.8041,1,0.0286,1.8859,-4.4548,0.0,-12.1828,-13.0836,0.1995,0.0036,0.2978,24.9573,6.2696,-93.7304,1,0.1418,0.227,0.4817,0.3688,0,0.1911,1.8812,0,0.0,0.0,-17.2644,-24.8856,0.1741,0.0036,0.0698,0.0,6.2696,-93.7304,0,0.4874,0.3766,0.5299,0.3766,0,1.0729,2.4397,0,0.0,0.0,3.6167,7.2333,0.75,0.0011,-0.2003,100.0,22.0481,-77.9519,1,0.2202,0.4134,0.6507,0.6336,1,4.9015,2.4397,1,1,0,0,0,0,0,-18.5404,-0.6429,0,18.3861,2.4397,56,318,1,A_clean,1,0,0,0,1,1,0,0,0.0,2,0.8583,4,1.3007,0.2792,1
2023-10-03,10:51:00,19509.2,19499.6,19538.0,9.6,0.4549,0.0017,0.8991,-3.0342,-1.4546,3.988,0.9538,-1.4364,54.7818,53.1323,-46.8677,-6.7,27.6697,34.0016,22.4138,0.852,0.009,1,1.8952,0.861,1,0.0482,0.0359,0.0382,1.9462,-0.2635,1.9462,-3.4675,5.8833,1,0.0299,1.9682,-3.1595,0.0,5.3124,-2.5335,0.5651,0.003,0.8329,52.2077,70.2703,-29.7297,1,0.9581,0.0387,0.7395,0.9968,0,0.9519,1.6827,0,0.0,0.0,-1.8014,-0.7463,0.48,0.0031,0.3647,45.4791,22.0481,-77.9519,1,0.3842,0.3053,0.4768,0.6896,0,1.3938,1.9462,0,0.0,0.0,3.6167,7.2333,0.75,0.0011,-0.2003,100.0,22.0481,-77.9519,1,0.2202,0.4134,0.6507,0.6336,1,3.4675,5.0227,0,1,0,0,0,0,0,-19.2411,-0.5769,0,21.2638,5.0227,96,278,1,A_clean,1,0,0,0,1,6,0,0,0.0,2,0.8295,0,0.0,1.3513,1
2023-10-03,12:02:00,19513.65,19510.15,19524.15,3.5,0.4669,0.0013,1.9158,-2.8376,-2.2196,1.6047,-1.2329,-0.2799,51.8642,86.758,-13.242,0.55,41.861,17.7247,22.8859,0.7368,0.0,1,1.1519,0.7368,1,0.0131,0.0226,0.0115,1.54,-0.3031,2.3039,-5.4444,4.1235,0,0.0082,1.3418,0.0405,-1.0616,-3.0548,-3.8773,0.4229,0.0018,0.7288,45.6041,27.2595,-72.7405,1,0.589,0.1718,0.658,0.7607,0,0.4365,1.54,0,-0.4776,0.0,4.8899,1.2607,0.6462,0.0026,0.4938,49.9282,30.094,-69.906,1,0.7256,0.0718,0.5417,0.7974,0,3.189,1.54,1,0.0,0.0,19.2456,18.9544,0.915,0.0029,0.3647,96.9551,41.1007,-58.8993,1,0.8594,0.0402,0.6058,0.8996,0,6.9116,1.54,1,0,1,0,0,0,0,-26.3733,-0.5542,0,30.3383,8.2454,167,207,2,A_clean,1,0,0,0,1,10,0,0,0.0,0,1.0986,4,1.6491,2.413,1
2023-10-03,12:37:00,19527.7,19521.65,19545.85,6.05,0.3426,0.0008,-0.1978,-0.1923,2.6549,0.1953,0.0031,-1.7294,49.2684,41.2969,-58.7031,-3.9,21.8757,12.5672,18.5251,0.7037,0.1926,1,1.3055,0.8963,0,0.0238,0.0138,-0.0141,1.1701,-0.967,1.1701,-2.4272,5.1705,1,0.0169,1.3043,3.5533,0.8963,3.5516,2.2007,0.721,0.0018,1.481,56.8747,69.2521,-30.7479,1,0.3582,0.3881,0.8542,0.7463,0,0.7736,1.1701,0,0.7841,0.0,9.8495,6.0128,0.7855,0.0027,0.888,54.0888,36.8861,-63.1139,1,0.1741,0.5734,0.4277,0.7474,0,1.6633,1.1701,0,0.0,0.0,19.2456,18.9544,0.915,0.0029,0.3647,96.9551,41.1007,-58.8993,1,0.8594,0.0402,0.6058,0.8996,0,2.7947,3.9454,0,0,2,0,0,0,0,-18.3153,-0.4826,0,24.1948,9.293,202,172,2,A_clean,1,0,0,0,1,10,0,0,0.0,3,0.7098,8,1.4312,1.3828,1
2023-10-03,12:59:00,19538.65,19530.95,19561.75,7.7,0.7818,0.0006,0.2469,0.6707,3.3112,3.7583,4.429,-0.121,61.884,74.2647,-25.7353,0.05,23.1357,21.0656,18.5503,0.9675,0.0325,1,1.5337,1.0,0,0.0392,0.0302,0.0107,2.0117,0.0,2.0117,-0.6971,5.0205,1,0.0228,1.5714,5.624,2.9,6.3078,5.3434,0.8557,0.0017,1.8026,64.7302,90.3315,-9.6685,1,0.1584,0.8416,0.9613,1.0,0,0.0,2.0117,0,1.8686,0.0,12.7196,7.9703,0.8575,0.0028,1.178,57.9264,94.4,-5.6,1,0.4081,0.3346,0.4317,0.7426,0,0.6971,2.0117,0,0.0,0.0,19.2456,18.9544,0.915,0.0029,0.3647,96.9551,41.1007,-58.8993,1,0.8594,0.0402,0.6058,0.8996,0,0.6971,6.2444,0,0,2,0,0,0,0,-16.6816,-0.4268,0,24.9178,11.7518,224,150,2,B_wick_recover,0,0,1,0,1,3,1,1,0.0797,1,1.1234,6,1.2549,0.9561,0
2023-10-03,13:07:00,19537.55,19534.05,19548.05,3.5,0.5981,0.0006,0.6811,0.649,3.0788,1.1725,1.8215,-0.1919,55.3158,60.4027,-39.5973,4.15,18.3338,16.4576,19.3818,0.4444,0.4198,1,0.8136,0.8642,0,0.01,0.0156,0.0,1.4063,-0.7433,1.808,-1.1853,4.9778,0,0.0078,0.7465,6.043,3.8397,8.661,4.1738,0.9222,0.0019,2.0067,66.9595,100.0,-0.0,1,0.8582,0.1418,1.2131,1.0,0,1.2154,1.4063,0,3.7526,0.0,19.6957,10.5662,0.9818,0.0031,1.3337,64.6353,97.1899,-2.8101,1,0.5306,0.3764,0.7292,0.907,0,3.0234,1.4063,1,0.0,0.0,26.9025,26.1309,0.8985,0.0043,0.8874,98.1255,53.9533,-46.0467,1,0.4939,0.2246,0.6618,0.7185,0,6.0167,1.4063,1,0,2,0,0,0,0,-17.0458,-0.4324,0,25.1317,11.6317,232,142,3,A_clean,1,0,0,0,1,8,0,0,0.0,1,0.8196,0,0.0,2.5313,1
2023-10-03,13:34:00,19545.5,19541.5,19557.5,4.0,0.4121,0.001,0.9777,-1.1292,2.9607,1.7402,0.611,-0.2351,53.3984,51.3441,-48.6559,-6.0,27.9595,23.1756,24.3718,0.5104,0.3229,1,1.1196,0.8333,1,0.0159,0.0289,0.0389,2.2275,-0.1866,2.2275,-2.414,4.2874,0,0.0061,1.0909,6.9497,6.7835,2.6809,1.6802,0.7482,0.0024,2.321,57.2998,69.7368,-30.2632,1,0.6908,0.2319,0.9578,0.9227,0,0.1866,2.2275,0,5.8981,0.0,16.7092,10.5104,0.9436,0.0034,1.6735,62.5773,96.0148,-3.9852,1,0.8385,0.136,0.6492,0.9745,0,1.8893,2.2275,0,0.0,0.0,26.9025,26.1309,0.8985,0.0043,0.8874,98.1255,53.9533,-46.0467,1,0.4939,0.2246,0.6618,0.7185,0,5.1313,3.487,1,0,2,0,0,0,0,-17.9362,-0.3919,0,29.1784,15.3589,259,115,3,B_wick_recover,0,0,1,0,2,0,1,1,0.3848,0,1.0986,3,1.3295,0.6298,0
2023-10-03,14:19:00,19522.45,19515.35,19543.75,7.1,0.3195,0.0028,1.4631,-9.2672,-8.4267,1.641,-7.6262,-3.5766,45.5455,42.1384,-57.8616,-3.05,46.4688,24.5252,37.4305,0.7764,0.1056,1,1.1416,0.882,1,0.0382,0.0646,0.0184,2.3753,-0.1347,2.3753,-5.1336,7.0516,1,0.0283,1.1899,-1.3888,5.4798,-14.7439,-14.4152,0.0803,0.0025,-0.8957,33.7719,27.1036,-72.8964,1,0.0791,0.8672,1.2328,0.9463,0,0.1347,2.3753,0,4.0928,0.0,-4.7025,-1.3883,0.5756,0.0036,0.5525,47.4241,41.3575,-58.6425,1,0.3169,0.523,1.0504,0.8399,0,1.7868,2.3753,0,0.0,0.0,2.3613,22.6101,0.5727,0.004,0.3408,57.8821,35.1794,-64.8206,0,0.5184,0.4618,0.8932,0.4618,0,5.1336,2.3753,1,0,1,0,0,0,0,-14.174,-0.5094,0,17.7406,6.0695,304,70,3,A_clean,1,0,0,0,1,7,0,0,0.0,2,0.8438,5,1.3756,1.7868,0
2023-10-04,10:13:00,19395.75,19388.35,19417.95,7.4,0.4515,0.0009,0.0877,-1.6748,-1.5547,1.1272,-0.5476,-0.6725,50.8398,59.9407,-40.0593,2.55,27.7291,11.7053,22.5441,0.8506,0.0,1,1.4065,0.8506,0,0.0307,0.0088,0.0,1.6328,-0.4527,1.6328,-2.9503,6.1858,1,0.0237,1.521,-0.6898,0.0,-4.4773,-3.3549,0.3706,0.0016,0.2236,29.3555,21.2985,-78.7015,0,0.0969,0.5659,0.633,0.5659,0,0.4527,1.6328,0,0.0,0.0,-2.8812,-1.0688,0.2269,0.0006,-0.1363,27.6429,21.2985,-78.7015,0,0.4599,0.4332,0.497,0.4332,0,1.0912,1.6328,0,0.0,0.0,6.2667,12.5333,0.75,0.0019,-0.105,100.0,53.4587,-46.5413,1,0.4281,0.3516,0.7729,0.7797,1,5.3914,1.6894,1,1,0,0,0,0,0,-8.172,-0.2599,0,13.3209,3.2898,58,316,1,B_wick_recover,0,0,1,0,4,0,1,1,0.4931,3,0.8406,3,1.269,0.0485,0
2023-10-04,10:17:00,19393.45,19390.65,19401.85,2.8,0.4388,0.0007,0.4668,-1.9354,-2.1357,0.6204,-1.315,-1.4587,49.3551,61.5094,-38.4906,-3.05,35.5351,10.1701,24.0229,0.7,0.0,1,0.6685,0.7,0,0.0093,0.0026,0.0188,1.3622,-0.6017,1.3622,-1.7048,5.9832,1,0.0246,0.6509,-1.0458,0.0,-3.8618,-3.2339,0.3668,0.0016,0.2068,28.1466,20.8738,-79.1262,1,0.0,0.7807,0.4706,0.7807,0,0.2006,1.3622,0,0.0,0.0,6.0556,3.0444,0.902,0.0009,-0.1024,66.5928,36.0437,-63.9563,1,0.3846,0.2246,0.8802,0.6092,1,4.0698,1.3622,1,0.0,0.0,6.2667,12.5333,0.75,0.0019,-0.105,100.0,53.4587,-46.5413,1,0.4281,0.3516,0.7729,0.7797,1,5.9584,1.3622,1,2,0,0,1,0,0,-8.8331,-0.2718,0,13.772,3.0168,62,312,1,B_wick_recover,0,0,1,0,5,0,1,1,0.1755,3,0.7538,5,1.312,0.6685,0
